,company,CAGR
0,ERIBR.HE,0.04204827389468524
1,KNEBV.HE,0.04151857619918986
2,NESTE.HE,-0.040701039251898274
3,NDA-FI.HE,-0.06041325737951564
4,SAMPO.HE,0.03210858468928768
5,FORTUM.HE,1.2057993197616037
6,NOKIA.HE,-0.019007937473725756
7,UPM.HE,-0.05008574840700353
8,TELIA1.HE,0.03782514635772638
9,STEAV.HE,-0.05218660159039257
10,STERV.HE,-0.05218660159039257
11,KESKOB.HE,0.005604676510398754
12,KESKOA.HE,0.005604676510398754
13,ELISA.HE,0.019604929415846684
14,MOCORP.HE,-0.631001087875813
15,SSABAH.HE,-0.00335674933787411
16,SSABBH.HE,1.3681600309997943
17,WRT1V.HE,0.6478578510002704
18,ORNAV.HE,0.014149969186322497
19,ORNBV.HE,-0.2935623210005768
20,VALMT.HE,0.33483314712120915
21,TYRES.HE,0.5737056413806598
22,KOJAMO.HE,-0.4953534275689745
23,HUH1V.HE,0.2119931611017496
24,METSB.HE,0.006836934265899375
25,METSA.HE,0.0704089337431073
26,TIETO.HE,-0.038353452258666376
27,KCR.HE,-0.007325778372243463
28,CGCBV.HE,0.3141873323393207
29,SAA1V.HE,2.0991465852029685
30,QTCOM.HE,-0.7679156899624617
31,OUT1V.HE,0.42229405219573724
32,AM1.HE,0.025275871882892265
33,KEMIRA.HE,-0.034484118258587326
34,NELES.HE,-0.05819121391291293
35,TTALO.HE,0.19134164657603603
36,TIK1V.HE,-0.20730757267691413
37,UPONOR.HE,2.4776825979329673
38,REG1V.HE,-0.43364569310176926
39,CTY1S.HE,-0.39120079587670153
40,FSKRS.HE,0.11807491578676665
41,TOKMAN.HE,0.478452331442458
42,VAIAS.HE,-0.13012366772202566
43,PON1V.HE,-0.37183442724778526
44,FIA1S.HE,0.3391592486923609
45,OLVAS.HE,-0.40748745670956954
46,YIT.HE,2.793886042276431
47,MUSTI.HE,-0.08173500810826284
48,ENENTO.HE,0.5449381404180551
49,ALMA.HE,-0.534066708882317
50,EQV1V.HE,-0.3159098291782252
51,CAV1V.HE,1.094271765914542
52,AKTIA.HE,-0.1267752936547264
53,RAIVV.HE,0.11228891037999533
54,RAIKV.HE,0.5722294562379451
55,FSC1V.HE,-0.21481904751924585
56,HARVIA.HE,-0.4642312824938445
57,KAMUX.HE,0.693201316023113
58,LAT1V.HE,2.5249029517573676
59,BAS1V.HE,0.541012468574054
60,REMEDY.HE,-0.46229809307198366
61,TNOM.HE,-0.5027109819982828
62,ROVIO.HE,2.1369856841280135
63,SCANFL.HE,12.43466273232754
64,ADMCM.HE,-0.5326934766799298
65,NANOFH.HE,-0.7278768597914944
66,ALBAV.HE,-0.3045046526688694
67,ALBBV.HE,0.12396487222219976
68,ETTE.HE,-0.44605123793434653
69,CAPMAN.HE,-0.5071051300209308
70,VERK.HE,0.9792866867528871
71,MEKKO.HE,-0.5675394424103937
72,OKDAV.HE,1.931429194389323
73,ALTIA.HE,0.5669060489302076
74,EVLI.HE,-0.6188885954489289
75,OKDBV.HE,0.616942932003492
76,OMASP.HE,0.3715018664973302
77,DETEC.HE,-0.04932648858797728
78,ATRAV.HE,0.44127789731647615
79,SUY1V.HE,0.21858004288989652
80,GOFORE.HE,-0.009296096032569756
81,RELAIS.HE,-0.3275476295036206
82,SITOWS.HE,0.45176767662620465
83,ASPO.HE,-0.3481761676003936
84,RAP1V.HE,0.4041083932008964
85,TAALA.HE,2.586379294380015
86,PIHLIS.HE,1.0981214387469387
87,BITTI.HE,0.9792012398306411
88,HKSAV.HE,0.5132137078908501
89,DIGIA.HE,-0.38519618025586067
90,FARON.HE,-1.0
91,TEM1V.HE,-0.6380987659347634
92,TITAN.HE,-0.5233299583652322
93,VIK1V.HE,0.5699128920327861
94,LEHTO.HE,1.437572663462046
95,KSLAV.HE,1.8332136882680108
96,ORTHEX.HE,0.06426313675495066
97,SRV1V.HE,2.407921394390592
98,NOHO.HE,0.39320694381674626
99,ICP1V.HE,0.4194813247513045
100,LEADD.HE,-0.30522016377912997
101,EEZY.HE,0.29283598551551915
102,UNIAV.HE,-0.2672964895023284
103,SIILI.HE,0.17986979563702166
104,VINCIT.HE,0.47755316058052855
105,ROBIT.HE,-0.3266991964879319
106,EXL1V.HE,0.31319368648433055
107,SOLTEQ.HE,-0.36266525360841717
108,SSH1V.HE,-0.5764383457867737
109,CONSTI.HE,0.7170885897135924
110,ESENSE.HE,-0.4833386015513108
111,TLT1V.HE,-0.4841009073727055
112,RAUTE.HE,1.2127002994628824
113,BOREO.HE,-0.32125053291309047
114,STCBV.HE,1.1791691991408766
115,STCAS.HE,1.865389663730669
116,EFECTE.HE,-0.054331604519885834
117,APETIT.HE,0.6461128422895897
118,PUMU.HE,-0.023773126320370652
119,OPTOMED.HE,-0.25834843868056023
120,SIEVI.HE,-0.2575033749148773
121,IFA1V.HE,8.466200890278927
122,GLA1V.HE,2.077069835899022
123,NIXU.HE,-0.3553103773242552
124,NXTGMS.HE,-0.28929934153998704
125,VIAFIN.HE,0.48983128407690346
126,SOSI1.HE,0.9266296840271793
127,FODELIA.HE,-0.2844649650471155
128,AFAGR.HE,0.1106175143524426
129,NLG1V.HE,-0.18795139008931716
130,EAB.HE,-0.2232179741810828
131,SAGCV.HE,0.2845970149601458
132,AALLON.HE,-0.46672538917436834
133,DOV1V.HE,1.1773843356380858
134,HONBS.HE,0.4037337530634961
135,BILOT.HE,-0.031054392603583225
136,PNA1V.HE,1.6064809989518807
137,OVARO.HE,0.10052471003335084
138,ENDOM.HE,-0.14672591587970119
139,INVEST.HE,1.2934392044008591
140,DIGIGR.HE,-0.44889758197957674
141,BIOBV.HE,0.3844762029296278
142,HEEROS.HE,-0.1763871024842003
143,FONDIA.HE,-0.06360165245922178
144,VALOE.HE,
145,CTH1V.HE,-0.10835701249075935
146,NXTMH.HE,-0.22548715464914226
147,AVIDLY.HE,
148,ACG1V.HE,-0.23353057277410272
149,HRTIS.HE,-1.0
150,AHOLA.HE,1.2529960782372132
151,QPR1V.HE,-0.331442804454544
152,BONEH.HE,-1.0
153,WUF1V.HE,0.13616645395498606
154,REKA.HE,1.3767837563491576
155,FELLOW.HE,-0.5342083112516751
156,TULAV.HE,2.286707551794509
157,LOUD.HE,-0.7732200818108408
158,KELAS.HE,0.31729159936615203
159,TRH1V.HE,0.31945544541267745
160,MARAS.HE,0.8595230847711794
161,SAVOH.HE,-0.5818255414284367
162,NORDID.HE,0.35883030723567333
163,PIIPPO.HE,
164,PRIVA.HE,
165,ENEDO.HE,
166,NXTMHN0121.HE,
